VIG: Vanguard Dividend Appreciation ETF
Inception Date: 2006-04-27
Fund Holdings as of: 2020-09-29
Total Assets Under Management (in thousands):	47256171
Shares Outstanding: 370114000
Expense Ratio: 0.06%
Tracks This Index: NASDAQ US Dividend Achievers Select Index
ETFdb.com Category: Large Cap Growth Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: https://etfdb.com/etf/VIG


Holding,Symbol,Weighting
Albemarle Corp,ALB,0.1116%
Toro Co,TTC,0.1076%
Essential Utilities Inc,WTRG,0.1072%
Renaissancere Holdings Ltd,RNR,0.1056%
Globe Life Inc,GL,0.1015%
Scotts Miracle-Gro Co,SMG,0.1002%
Snap-On Inc,SNA,0.0957%
Westlake Chemical Corp,WLK,0.0953%
Royal Gold Inc,RGLD,0.094%
SEI Investments Co,SEIC,0.0928%
Hubbell Inc,HUBB,0.09%
Chemed Corp,CHE,0.0898%
Aptargroup Inc,ATR,0.0882%
A. O. Smith Corp,AOS,0.0875%
Assurant Inc,AIZ,0.0869%
Williams-Sonoma Inc,WSM,0.0839%
Carlisle Companies Inc,CSL,0.0827%
UGI Corp,UGI,0.0814%
Caseys General Stores Inc,CASY,0.0778%
Perrigo Company PLC,PRGO,0.0744%
Commerce Bancshares Inc,CBSH,0.0743%
American Financial Group Inc,AFG,0.0725%
Robert Half International Inc,RHI,0.0725%
Reinsurance Group of America Inc,RGA,0.0716%
Donaldson Company Inc,DCI,0.0712%
Columbia Sportswear Co,COLM,0.0704%
HEICO Corp,HEI,0.0687%
Polaris Inc,PII,0.0687%
Lincoln Electric Holdings Inc,LECO,0.0658%
ITT Inc,ITT,0.0633%
MSA Safety Inc,MSA,0.0623%
Sonoco Products Co,SON,0.0617%
Lancaster Colony Corp,LANC,0.0614%
Wendys Co,WEN,0.0602%
Prosperity Bancshares Inc,PB,0.0595%
MDU Resources Group Inc,MDU,0.0536%
Ashland Global Holdings Inc.,ASH,0.0508%
Silgan Holdings Inc,SLGN,0.0495%
Regal Beloit Corp,RBC,0.0477%
Cullen/Frost Bankers Inc,CFR,0.0476%
Aaron's Inc,AAN,0.0467%
Rli Corp,RLI,0.0449%
AXIS Capital Holdings Ltd,AXS,0.044%
Hanover Insurance Group Inc,THG,0.0432%
BOK Financial Corp,BOKF,0.0431%
Southwest Gas Holdings Inc,SWX,0.0408%
Black Hills Corp,BKH,0.0399%
Quaker Chemical Corp,KWR,0.0387%
Portland General Electric Co,POR,0.0375%
Ensign Group Inc,ENSG,0.0369%
Balchem Corp,BCPC,0.0366%
Community Bank System Inc,CBU,0.0338%
Franklin Electric Co Inc,FELE,0.0336%
American States Water Co,AWR,0.0327%
Cohen & Steers Inc,CNS,0.0316%
New Jersey Resources Corp,NJR,0.0309%
Stepan Co,SCL,0.0306%
ABM Industries Inc,ABM,0.0301%
WD-40 Co,WDFC,0.0295%
Sensient Technologies Corp,SXT,0.0292%
UMB Financial Corp,UMBF,0.029%
HB Fuller Co,FUL,0.0287%
J & J Snack Foods Corp,JJSF,0.0284%
California Water Service Group,CWT,0.0259%
Applied Industrial Technologies Inc,AIT,0.0257%
Hillenbrand Inc,HI,0.0256%
MGE Energy Inc,MGEE,0.0255%
Telephone and Data Systems Inc,TDS,0.0241%
American Equity Investment Life Holding Co,AEL,0.024%
Brady Corp,BRC,0.0236%
Badger Meter Inc,BMI,0.0227%
SJW Group,SJW,0.0211%
International Bancshares Corp,IBOC,0.0203%
John Wiley & Sons Inc,JW.A,0.0177%
Cash Component,CASH,0.0174%
Westamerica Bancorp,WABC,0.0172%
McGrath RentCorp,MGRC,0.0168%
Horace Mann Educators Corp,HMN,0.0168%
BancFirst Corp,BANF,0.0166%
Monro Inc,MNRO,0.0164%
Northwest Natural Holding Co,NWN,0.0164%
Chesapeake Utilities Corp,CPK,0.0162%
Tootsie Roll Industries Inc,TR,0.0144%
Middlesex Water Co,MSEX,0.0137%
Tennant Co,TNC,0.0132%
Lindsay Corp,LNN,0.0121%
National Healthcare Corp,NHC,0.0116%
Tompkins Financial Corp,TMP,0.0106%
Stock Yards Bancorp Inc,SYBT,0.0097%
1st Source Corp,SRCE,0.0097%
Gorman-Rupp Co,GRC,0.0094%
Matthews International Corp,MATW,0.0083%
Andersons Inc,ANDE,0.008%
Cass Information Systems Inc,CASS,0.0074%
York Water Co,YORW,0.0067%
Hawkins Inc,HWKN,0.0058%
First Financial Corp,THFF,0.0049%
Bank of Marin Bancorp,BMRC,0.0046%
First of Long Island Corp,FLIC,0.0042%
