USMV: iShares Edge MSCI Min Vol USA ETF
Inception Date: 2011-10-18
Fund Holdings as of: 2020-09-29
Total Assets Under Management (in thousands):	33804662
Shares Outstanding: 533400000
Expense Ratio: 0.15%
Tracks This Index: MSCI USA Minimum Volatility Index
ETFdb.com Category: Large Cap Growth Equities
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/USMV


Holding,Symbol,Weighting
Sirius XM Holdings Inc,SIRI,0.1011%
FLIR Systems Inc,FLIR,0.0969%
Juniper Networks Inc,JNPR,0.0958%
Ball Corp,BLL,0.0955%
Northrop Grumman Corp,NOC,0.0925%
Erie Indemnity Co,ERIE,0.0915%
Burlington Stores Inc,BURL,0.0908%
Marketaxess Holdings Inc,MKTX,0.09%
TE Connectivity Ltd,TEL,0.0858%
Equinix Inc,EQIX,0.0845%
eBay Inc,EBAY,0.0838%
CDK Global Inc,CDK,0.0813%
Carrier Global Corp,CARR,0.0801%
Costco Wholesale Corp,COST,0.0796%
American Water Works Company Inc,AWK,0.0727%
Dell Technologies Inc,DELL,0.0718%
Cabot Oil & Gas Corp,COG,0.0707%
DENTSPLY SIRONA Inc,XRAY,0.0706%
Linde PLC,LIN,0.0698%
Quest Diagnostics Inc,DGX,0.0663%
M&T Bank Corp,MTB,0.0648%
Liberty Media Corp,LSXMA,0.0602%
Fox Corp,FOX,0.0583%
Cerner Corp,CERN,0.0562%
Otis Worldwide Corp,OTIS,0.0556%
NortonLifeLock Inc,NLOK,0.0541%
Zimmer Biomet Holdings Inc,ZBH,0.0539%
Truist Financial Corp,TFC,0.0527%
Advance Auto Parts Inc,AAP,0.052%
Loews Corp,L,0.0516%
Henry Schein Inc,HSIC,0.0478%
Tyson Foods Inc,TSN,0.047%
Wells Fargo & Co,WFC,0.0447%
Chevron Corp,CVX,0.0443%
Tiffany & Co,TIF,0.0427%
